role,packet,sample_id,official_split,relation,channel,confidence,original_label,caption,original_caption,camc_reg_votes,clip_fusion_votes,text_only_votes
vc_miss,pilot_seed42,78,scene_resnet_place,C,visible_conflict,medium,falsified,Beautiful Hawaii Another spectacular sunset ends the day at Honolulu s Waikiki Beach last month,Some parents were disgusted by a Yorkshire school s 1650 trip to Barbados,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,29,semantics_clip_text_text,C,visible_conflict,medium,falsified,A Florida man captured video Saturday of a massive shark eating a smaller shark near a pier in Jacksonville Fla,The Atlantic White Shark Conservancy was filming in Cape Cod when they saw this seal escape a shark attack by fighting back and swimming to safety Keri Lumm,N/N/N,N/N/N,C/C/C
vc_miss,formal_seed43,241,semantics_clip_text_text,C,visible_conflict,high,falsified,Oregon Ducks running back Byron Marshall celebrates a first down during the second quarter against the Ohio State Buckeyes in the 2015 CFP National Championship Game at AT T Stadium,Green Bay Packers receiver Ty Montgomery is stopped by the Dallas Cowboys defense at Lambeau Field,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,218,person_sbert_text_text,C,visible_conflict,high,falsified,Martin Shkreli is seen on a TV as he invokes his 5th amendment rights,Martin Shkreli former CEO of Turing Pharmaceuticals shown leaving federal court in Brooklyn NY following his arraignment on securities fraud charges,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,67,semantics_clip_text_image,C,visible_conflict,high,falsified,Damir Tulemaganbetov left with his friend Mohammed Islam right in the office of public relations firm 5WPR,Chechen regional leader Ramzan Kadyrov shown in Chechnya s provincial capital Grozny has escalated his rhetoric against Russian opponents of the Kremlin,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,89,semantics_clip_text_image,C,visible_conflict,high,falsified,Connecticut Huskies head coach Geno Auriemma instructs his players against the Notre Dame Fighting Irish,No 12 John Beilein Michigan 2498242 Following the Wolverines run to last season s NCAA tournament final Beilein received a new sixyear contract that included a 650000 pay increase,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,232,scene_resnet_place,C,visible_conflict,medium,falsified,Police escort a woman away from the scene as an operation takes place in the Molenbeek district of Brussels,Crime scene where 52yearold man was stabbed in Edmonton north London,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,34,semantics_clip_text_image,C,visible_conflict,high,falsified,Utah s Eric Maynor jumps and scores in front of Joakim Noah,Jan 20 Warriors 125 Bulls 94 Warriors guard Stephen Curry goes up for a shot against the Bulls during the second half at the United Center,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,87,semantics_clip_text_text,C,visible_conflict,high,falsified,Mark Cavendish celebrates after crossing the line first on the fifth stage of the Tour de France,Geraint Thomas of Team Sky celebrates after taking the yellow jersey after the sixth stage of the ParisNice cycling race from Nice to La Madone d Utelle,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,16,person_sbert_text_text,C,visible_conflict,medium,falsified,Randy Travis walks on stage as Brad Paisley and Garth Brooks look on during the Country Music Hall of Fame Medallion Ceremony on Sunday October 16 2016,Country music superstar Garth Brooks speaks at a news conference announcing his comeback plans on July 10 2014 in Nashville,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,59,semantics_clip_text_text,C,visible_conflict,medium,falsified,The army has destroyed some border properties in Rafah to create a buffer zone between Egypt and Gaza,IDF Video shows Israel destroying Hamas terrorists,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,305,semantics_clip_text_text,C,visible_conflict,high,falsified,The price sign outside the Costco in Westminster Colorado shows gas selling for below 190 for the first time in years December 20 2014 REUTERSRick Wilking,Employee Miriam Flores adjusts gasoline pump prices at a Chevron gas station in San Pedro California US on Thursday Feb 24 2011,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,340,semantics_clip_text_text,C,visible_conflict,high,falsified,Carolina Panthers quarterback Cam Newton adresses members of the media during Super Bowl 50 Opening Night media day at SAP Center,Florida State Seminoles quarterback Jameis Winston speaks to media during media day at Newport Beach Marriott,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,57,semantics_clip_text_image,C,visible_conflict,high,falsified,Connecticut Huskies guardforward Niels Giffey dunks the ball against the Florida Gators,Villanova Wildcats guard Josh Hart takes it into the lane,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,343,semantics_clip_text_text,C,visible_conflict,high,falsified,Benedict greets Pope Francis in May as the former pope returned to the Vatican where he is living in seclusion,Will and Kate arrived to meet Indian prime minster Narendra Modi in New Delhi on April 12,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,88,semantics_clip_text_text,C,visible_conflict,high,falsified,Ryan Hall whose lastgasp try won the League Leaders Shield for Leeds celebrates with the trophy after their victory over Huddersfield,Manchester United defenders John Gidman and Kevin Moran parade FA Cup trophy after their 10 defeat of Everton,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,14,scene_resnet_place,C,visible_conflict,high,falsified,Charming Thought far left comes to land the Middle Park Stakes at Newmarket from Ivawood purple,Orb was the winner of the 139th running of the Kentucky Derby,N/N/N,C/C/C,N/N/N
vc_miss,pilot_seed42,58,person_sbert_text_text,C,visible_conflict,medium,falsified,Labour leader Ed Miliband visits Crouch End north London on Thursday,Ed Miliband and Ed Balls enjoy a George Osborne joke,N/N/N,N/N/C,N/N/N
vc_miss,formal_seed43,261,semantics_clip_text_text,C,visible_conflict,medium,falsified,Cameron and Vladimir Putin at the G20 summit in Brisbane last year The UK and Russia are at odds over Bashar alAssad,Lavrov and Kerry s very very constructive talks at Paris meeting failed to bring any solution to the Ukraine crisis,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,formal_seed43,277,person_sbert_text_text,C,visible_conflict,medium,falsified,Vice President Joe Biden addresses a memorial honoring three Baton Rouge law enforcement officers killed in a July 17 shootout in Baton Rouge July 25,Vice President Biden in Leipsic Del,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,332,scene_resnet_place,C,visible_conflict,high,falsified,Japanese fans will have even more reason to look forward to hosting the next World Cup in 2019,USA fans celebrate at the pier in Hermosa Beach California,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,75,scene_resnet_place,C,visible_conflict,medium,falsified,the headquarters of Uber in San Francisco,Italian suitmaker Brioni will open its first Washington location in Trump s hotel this fall Shown is its Las Vegas store,N/N/N,N/N/C,N/N/N
vc_miss,formal_seed43,256,scene_resnet_place,C,visible_conflict,high,falsified,Fans gather outside First Avenue the nightclub where Prince got his start in Minneapolis,Painting the town pink Beware of Colour a guerrilla art project to highlight the number of dilapidated heritage buildings in Johannesburg South Africa,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,formal_seed43,323,scene_resnet_place,C,visible_conflict,medium,falsified,A Chinese woman drinking scotch at a tasting in Chengdu Whisky s popularirty is soaring with a newly affluent Chinese middle class,Hainan China Buddhists burn incense for victims of the Nepal earthquake in Nanshan temple Sanya,N/N/N,C/C/C,N/N/N
vc_miss_clip_catch,pilot_seed42,50,scene_resnet_place,C,visible_conflict,high,falsified,An episode of Interpol Calling named The Man s a Clown,The Olympic and Paralympic track star has been reporting for psychiatric tests for the past month,N/N/N,C/C/C,N/N/N
vc_miss,pilot_seed42,82,person_sbert_text_text,C,visible_conflict,medium,falsified,George Osborne at the Conservative party conference in Manchester,Conservative Chancellor George Osborne sat alongside Mr Clegg as he analysed the causes of UK economic recovery,N/N/N,N/N/N,C/C/C
vc_miss,formal_seed43,246,person_sbert_text_text,C,visible_conflict,medium,falsified,British Home Secretary Theresa May speaks in the House of Commons on Wednesday in support of proposals seeking new Web surveillance powers,Home Secretary Theresa May was giving a speech in Washington,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,40,semantics_clip_text_text,C,visible_conflict,high,falsified,Democratic presidential candidate Sen Bernie Sanders IVt speaks during a campaign rally at Chicago State University in Chicago,Donald Trump speaks during rally on June 18 2016 at the Veterans Memorial Coliseum in Phoenix,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,85,person_sbert_text_text,C,visible_conflict,high,falsified,John Kerry meets Vladimir Putin in Sochi The US secretary of state later said he had frank discussions with the Russian president,Secretary of State John F Kerry,N/N/N,C/C/C,N/N/N
vc_miss_clip_catch,formal_seed43,281,scene_resnet_place,C,visible_conflict,medium,falsified,Marines with Charlie Battery 10th Marine Regiment 2nd Marine Division fire a 155mm Howitzer as part of a simulated fire mission at Fort Bragg NC,Israeli infantry troops walk into southern Israel after fighting inside the Gaza Strip,N/N/N,C/C/C,C/C/C
vc_miss,formal_seed43,204,semantics_clip_text_text,C,visible_conflict,high,falsified,Animal rights activists gather outside Winchester crown court on Thursday before the sentencing of Debbie Vincent below,Russell Brand with residents of the New Era estate in east London who fear eviction after their homes were bought by a US investment company,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,12,semantics_clip_text_text,C,visible_conflict,high,falsified,Pope Francis is greeted by the head of Armenia s Orthodox Church Karekin II during an ArmenianRite mass at the Vatican on 12 April,Russian President Vladimir Putin lit a candle at a ceremony in Moscow alongside Russia s Chief Rabbi Berel Lazar,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,formal_seed43,278,scene_resnet_place,C,visible_conflict,high,falsified,A bell at St Peter s Basilica rings as white smoke rises from the chimney on the roof of the Sistine Chapel at the Vatican,Torgau Germany A woman looks through the center axis of a staircase that was renovated in Hartenfels palace,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,266,semantics_clip_text_text,C,visible_conflict,high,falsified,Zak Hardaker has enjoyed a superb season for Leeds,Josh Charnley said on Twitter that he still has a job to do for Wigan Warriors,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,320,person_sbert_text_text,C,visible_conflict,medium,falsified,President Obama returns to the White House on July 17 2014,President Obama takes in the scene early Wednesday after speaking to supporters in Chicago following his reelection victory,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,60,scene_resnet_place,C,visible_conflict,medium,falsified,Volume vote Amazon s US Election Heat Map,West Coast Internet provider Wave Broadband s service interruption is shown on the map from Downdetectorcom,N/N/N,N/N/N,C/C/C
vc_miss,pilot_seed42,35,person_sbert_text_text,C,visible_conflict,medium,falsified,President Clinton greets ethnic Albanian Kosovars in the town of Urosevac in the Yugoslavia province of Kosovo on Nov 23 1999,Former president Bill Clinton speaks at the Ohio Democratic Party s annual state dinner in Columbus,N/N/N,N/N/C,N/N/N
vc_miss,formal_seed43,280,semantics_clip_text_text,C,visible_conflict,high,falsified,Delon Armitage and Jonny Wilkinson of Toulon with the Heineken Cup the cause of a dispute,England and their captain Chris Robshaw with the Hillary Shield after the 3821 victory against New Zealand,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,345,semantics_clip_text_text,C,visible_conflict,high,falsified,Portland Timbers fans would like very much to celebrate a win over Los Angeles Galaxy,Orlando City will enter their first season in MLS later this year,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,90,semantics_clip_text_image,C,visible_conflict,high,falsified,A jeepney in Manila US military 4x4s left over from world war II have been converted often flamboyantly into the most popular form of transport in the city,Curator Ian Ballis and his team of volunteers began inviting artists to the Powerhouse in December 2014 and more than 350 have now completed work,N/N/N,N/N/N,N/N/N
vc_miss,formal_seed43,292,scene_resnet_place,C,visible_conflict,high,falsified,New prospects the Hall of Mirrors at the Palace of Versailles restored in 2005,Lancing College Chapel overlooks the scene of the Shoreham crash,N/N/N,N/N/N,N/N/N
vc_miss_clip_catch,pilot_seed42,24,scene_resnet_place,C,visible_conflict,high,falsified,What if the field looks like this as it did in Philadelphia during the EaglesLions game on Dec 8 during the Super Bowl at MetLife Stadium in East Rutherford NJ,Canary Wharf and the old City of London emerge from the fog,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,236,scene_resnet_place,C,visible_conflict,high,falsified,The interior of the redesigned 2015 Ford Mustang,The cop s office in the new 2015 Chevrolet Tahoe PPV,N/N/N,N/N/C,C/C/C
vc_miss_clip_catch,formal_seed43,317,scene_resnet_place,C,visible_conflict,medium,falsified,Site of proposed flatsoffices development Leeds Parish Church is to the left of the tree the existing Cantrell House to the right,The University of Chicago will have a role in running the Obama Library and museum,N/N/N,C/C/C,N/N/N
vc_miss,formal_seed43,224,semantics_clip_text_text,C,visible_conflict,medium,falsified,A satellite image showing three cyclones near Australia with Pam to the northeast,This image provided by NOAA taken Thursday Aug 7 2014 at 2 am ET shows Hurricane Iselle left and Hurricane Julio,N/N/N,E/E/N,C/C/C
vc_miss,formal_seed43,338,semantics_clip_text_text,C,visible_conflict,high,falsified,Steelers linebacker LJ Fort clobbers Redskins quarterback Kirk Cousins on a secondhalf pass attempt,Patriots 27 Chiefs 20 Kansas City quarterback Alex Smith slides down after fourthquarter run,N/N/N,N/N/N,C/C/C
vc_miss,formal_seed43,291,semantics_clip_text_image,C,visible_conflict,medium,falsified,An early live shot from Jim Reid s collection with Douglas Hart centre,1991 photo of the musical group Siouxsie and the Banshees Budgie left Jon Klein Steven Severin Martin McCarrick and Siouxsie Sioux Photo by Geffen,N/N/N,E/E/E,N/N/N
vc_miss,pilot_seed42,53,scene_resnet_place,C,visible_conflict,low,falsified,The casual Lido Marketplace buffet offers stations for comfort food deli sandwiches Indian cuisine and more It s open for breakfast lunch and dinner,Volunteers of all ages help prepare a free meal for all of the Iraqi refugees at Imam Ali Center of Detroit on Monday July 21 2014 in Detroit Mich,N/N/N,N/N/N,N/N/N
vc_miss,pilot_seed42,100,semantics_clip_text_text,C,visible_conflict,high,falsified,Biden walks in the annual Allegheny County Labor Day Parade on Sept 7 2015 in Pittsburgh,Sen Bernie Sanders greets supporters in a Labor Day parade on Sept 7 in Milford NH,N/N/N,N/N/N,N/N/N
vc_hit,pilot_seed42,20,scene_resnet_place,C,visible_conflict,low,falsified,Community members separated into small groups during the Kalamazoo Community Prayer Service Sunday at Centerpoint Church,Standing room only Physicists crammed into a small room at ICHEP to hear the latest results from Higgs searches at the Tevatron collider,C/C/C,N/N/N,N/N/N
vc_hit,formal_seed43,296,person_sbert_text_text,C,visible_conflict,high,falsified,Michael Owen trains with the rest of the Manchester United squad at Bukit Jalil Stadium in Kuala Lumpur,Michael Owen and his girlfriend Jemma Richards both 22 stopped to help the woman,C/C/C,C/C/C,N/N/N
vc_hit,pilot_seed42,79,semantics_clip_text_image,C,visible_conflict,medium,falsified,Fatal meeting the Ambassador hotel on Wilshire Boulevard on 5 June 1998 30 years to the day after Bobby Kennedy was shot,Former prime minister Tony Blair and wife Cherie lived in Islington until relocating to Downing Street in 1997,C/C/C,N/N/C,N/C/N
vc_hit,pilot_seed42,19,scene_resnet_place,C,visible_conflict,high,falsified,Shoppers wait to get inside a Best Buy store in Naples Florida,Police guard the front door of Excel Industries in Hesston Kan,C/C/C,N/N/N,C/C/C
vc_hit,pilot_seed42,61,semantics_clip_text_text,C,visible_conflict,high,falsified,Dover take on Crystal Palace who will have new manager Alan Pardew in the dugout at the Crabble Stadium,Jason Bradbury of The Gadget Show and Knitted Jason Bradbury of perhaps The K Factor,C/C/C,N/N/N,C/C/C
vc_hit,formal_seed43,263,semantics_clip_text_image,C,visible_conflict,high,falsified,Aug 12 Umpire Ron Kulpa ejects Texas Rangers catcher AJ Pierzynski during the sixth inning against the Houston Astros at Minute Maid Park,Toronto Blue Jays manager Jim Fregosi and right fielder Raul Mondesi argue a call with home plate umpire Al Clark in Toronto on April 18 2000,C/C/C,N/N/N,C/C/C
vc_hit,formal_seed43,298,semantics_clip_text_text,C,visible_conflict,high,falsified,May 5 Montreal Canadiens right wing Brandon Prust was fined 5000 for publicly criticizing referee Brad Watson after a Game 2 loss Hockey operations handed down the fine,Ryan Kesler forward Vancouver Canucks,C/C/C,N/N/N,C/C/C
vc_hit,pilot_seed42,32,scene_resnet_place,C,visible_conflict,medium,falsified,Following protests Essar lost its coal mining bid in central India,RSA Insurance says it is extremely disappointed about the problems in its Irish division,C/C/C,C/C/C,C/C/C
vc_hit,pilot_seed42,10,scene_resnet_place,C,visible_conflict,high,falsified,No 8 Louisville 44 Eastern Kentucky 7,1 Vikings at Eagles Sam Bradford guides the NFL s lone undefeated team into a big matchup against his former team in Philadelphia,C/C/C,C/C/C,C/C/C
ep_boundary,pilot_seed42,94,person_sbert_text_text,N,event_provenance,medium,falsified,US senators Amy Klobuchar and Claire McCaskill talk after a news conference at a hotel in Havana,Sen Claire McCaskill thanks a campaign worker at an event in Kansas City Monday night,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,56,person_sbert_text_text,N,event_provenance,medium,falsified,Hillary Rodham Clinton speaks at a town hall meeting in Las Vegas on Tuesday,Democratic presidential nominee Hillary Clinton speaks to and meets Florida voters at Osceola Heritage Park in Kissimmee Fla on Monday,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,65,person_sbert_text_text,N,event_provenance,medium,falsified,Serena Williams competing against Daria Gavrilova of Australia at the Rio Olympics,Serena Williams serves to Carla Suarez Navarro,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,307,person_sbert_text_text,N,event_provenance,medium,falsified,Maria Sharapova plays a shot during her women s singles semifinal match against Russia s Ekaterina Makarova,Maria Sharapova tries to get herself going in the first set against Simona Halep,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,297,semantics_clip_text_text,N,event_provenance,medium,falsified,Haley Barbour South Carolina should decide how they want to decorate their state capitol,Confederate flags hang near a Robert E Lee memorial in Lee Chapel,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,287,person_sbert_text_text,N,event_provenance,medium,falsified,Closet Wimbledon fan Mel Gibson jumped at the chance to give the FA Cup teamtalk chuckles Jonathan Perera,Mel Gibson in Texas on 18 April 2012,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,15,semantics_clip_text_image,N,event_provenance,medium,falsified,Residents and volunteers walk over downed power lines along storm damaged Pennsylvania Street after a tornado hit Van Texas,LaTisha Garcia carries her 8yearold daughter Jazmin Rodriguez near Plaza Towers Elementary School after a massive tornado carved its way through Moore Okla May 20,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,68,person_sbert_text_text,N,event_provenance,medium,falsified,President Obama pauses as he makes a statement on the fatal police shootings of two black men in Louisiana and Minnesota after arriving in Warsaw Friday,President Barack Obama speaks at a Democratic National Committee campaign fundraising event at Austin City Limits Moody Theater in Austin Texas Tuesday May 10 2011,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,226,person_sbert_text_text,N,event_provenance,medium,falsified,Ted Cruz speaks to supporters during a campaign stop in Des Moines on Jan 31 2016,Ted Cruz drops out of race We left it all on the field in Indiana,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,336,person_sbert_text_text,N,event_provenance,medium,falsified,Republican presidential candidate Donald Trump speaks during a campaign rally,Donald Trump arrives to speak at a rally in Bangor Maine on Oct 15 2016,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,43,person_sbert_text_text,N,event_provenance,medium,falsified,President Obama announces that he will begin normalizing relations with Cuba during an address to the nation in the Cabinet Room of the White House on Dec 17 2014,President Obama speaking Thursday about the church shooting in Charleston SC,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,223,semantics_clip_text_image,N,event_provenance,medium,falsified,Best friends Victoria Froeyd 18 and Sofie Nilsen 17 hid together in the school building until the police rescued them,Clarksburg High School juniors Courtney Witmer 16 left and Baleigh Louro 17 visit the crash site of where three of their classmates were killed when their vehicle struck a tree,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,86,scene_resnet_place,N,event_provenance,medium,falsified,Health workers put on protective gear before entering a quarantine zone at a Red Cross facility in Koidu eastern Sierra Leone,Doctors Without Borders health workers prepare to treat Ebola patients at an isolation camp in Monrovia Liberia,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,80,person_sbert_text_text,N,event_provenance,medium,falsified,Amy Winehouse performing at Glastonbury in 2008,Amy Winehouse in the documentary Amy,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,272,person_sbert_text_text,N,event_provenance,medium,falsified,Donald Trump walks into Quicken Loans Arena site of the Republican National Convention on July 20 2016,Donald Trump arrives at a polling station in New York to cast his ballot,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,5,person_sbert_text_text,N,event_provenance,medium,falsified,Former secretary of state Hillary Clinton speaks to the media March 10 about recent allegations of an improperly used email account during her tenure at the State Department,Hillary Clinton delivers the keynote address at the 18th annual David N Dinkins Leadership and Public Policy Forum at Columbia University in New York on Wednesday,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,234,scene_resnet_place,N,event_provenance,medium,falsified,People walk past a display of a currency exchange office in StPetersburg Russia on Jan 27,A proRussian activist rides a bicycle decorated with a Russian flag and the Russian Navy s flag in the center of Sevastopol,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,98,person_sbert_text_text,N,event_provenance,medium,falsified,Rafael Nadal of Spain in action against Facundo Bagnis of Argentina during their secondround match,Rafael Nadal returns against Thomaz Bellucci,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,253,scene_resnet_place,N,event_provenance,medium,falsified,Yashika Bageerathi faces being deported to Mauritius without her family,The author and her parents in Chattanooga Tennessee,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,21,person_sbert_text_text,N,event_provenance,medium,falsified,From behind a teleprompter US President Barack Obama pauses while speaking at the Global Health Security Agenda Summit at the White House in Washington September 26 2014 REUTERSKevin Lamarque,An emotional President Obama discusses the shooting at a Connecticut elementary school on Friday,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,52,person_sbert_text_text,N,event_provenance,medium,falsified,Sen Bernie Sanders and his wife Jane acknowledge the crowd as he arrives for his caucus night rally in Des Moines on Feb 1 2016,People cheer as Democratic presidential candidate Bernie Sanders speaks after winning the Vermont primary on March 1,N/N/N,N/N/N,N/N/N
ep_boundary,pilot_seed42,48,semantics_clip_text_text,N,event_provenance,medium,falsified,Candidate Elissa Silverman greets WUSA 9 reporter Bruce Johnson while campaigning outside the Shepherd Park polling station,Cuccinelli greets Sharon Bulova left of the Fairfax County Board of Supervisors outside Eagle View Elementary School in Fairfax,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,316,person_sbert_text_text,N,event_provenance,medium,falsified,Julian Assange at the Ecuadorian embassy The WikiLeaks founder is calling for the threat of arrest to be lifted,Julian Assange holds up a copy of the Guardian during a press conference at the Frontline Club in London in 2010,N/N/N,N/N/N,N/N/N
ep_boundary,formal_seed43,310,scene_resnet_place,N,event_provenance,medium,falsified,The incident took place in eastern Afghanistan where the majority of foreign forces are from the US,Streets in Mazare Sharif the sprawling capital of Balkh province,N/N/N,N/N/N,N/N/N
